id,value,feed_id,created_at,lat,lon,ele
0FV5AFMH4W7FDEKEQQFWSM1G94,30.4154,3025962,2025-03-22 02:33:20 UTC,,,
0FV5AFSDJDD0ZFN8422XY0MJ6S,30.4154,3025962,2025-03-22 02:33:36 UTC,,,
0FV5AFY9HBJVF8NZPEB7QMPPC1,30.4154,3025962,2025-03-22 02:33:52 UTC,,,
0FV5AG362B8H7ABVT2713YAZKA,30.4154,3025962,2025-03-22 02:34:08 UTC,,,
0FV5AG8221R56XTB4VZY955WDF,30.8835,3025962,2025-03-22 02:34:24 UTC,,,
0FV5AGCYG4XZPHK69HGZ4PNYD7,30.4154,3025962,2025-03-22 02:34:40 UTC,,,
0FV5AGHV4TC1PEA5ZSG3Z77GG7,30.4154,3025962,2025-03-22 02:34:56 UTC,,,
0FV5AGPQ0YQ52KJCXA3PV6S21V,30.4154,3025962,2025-03-22 02:35:12 UTC,,,
0FV5AGVKD299MF320221RGV80G,30.4154,3025962,2025-03-22 02:35:28 UTC,,,
0FV5AH0FVVWQD0HGPKW7QD0KY0,30.4154,3025962,2025-03-22 02:35:44 UTC,,,
0FV5AH5BW7FBRXHWHSPB6G0NTP,30.4154,3025962,2025-03-22 02:36:00 UTC,,,
0FV5AHA8D4CEGGATZ03Y7MQZ9M,30.4154,3025962,2025-03-22 02:36:16 UTC,,,
0FV5AHF4T5F6DZKQ3XGB4GVVWA,30.8835,3025962,2025-03-22 02:36:32 UTC,,,
0FV5AHM0SVQD8T2R3117A2C5RS,30.4154,3025962,2025-03-22 02:36:48 UTC,,,
0FV5AHRX7QHJASWY7RY194BZM2,30.4154,3025962,2025-03-22 02:37:04 UTC,,,
0FV5AHXSPS0APEE9T53JKP0M13,30.4154,3025962,2025-03-22 02:37:20 UTC,,,
0FV5AJ2NR665EHM0Y67BPFFA66,30.8835,3025962,2025-03-22 02:37:36 UTC,,,
0FV5AJ7J6AXQYT0FVBWFD68EMA,30.8835,3025962,2025-03-22 02:37:52 UTC,,,
0FV5AJCENX946KHJKT77Q06H40,30.4154,3025962,2025-03-22 02:38:08 UTC,,,
0FV5AJHAMH1G35AQDXHDGW7A9H,30.8835,3025962,2025-03-22 02:38:24 UTC,,,
0FV5AJP75PJ2N1F1JTS6CS0DQN,30.4154,3025962,2025-03-22 02:38:40 UTC,,,
0FV5AJV3HQCY9Z389H4BNGH5F7,30.8835,3025962,2025-03-22 02:38:56 UTC,,,
0FV5AJZZH2JRHRWT5546W5MFV9,30.8835,3025962,2025-03-22 02:39:12 UTC,,,
0FV5AK4VZQB9J53KHTX0BV88J5,30.8835,3025962,2025-03-22 02:39:28 UTC,,,
0FV5AK9RFAH8JMY4RDTQN2ABY0,30.8835,3025962,2025-03-22 02:39:44 UTC,,,
0FV5AKEMEMT1162EZQV9K3D4XH,30.8835,3025962,2025-03-22 02:40:00 UTC,,,
0FV5AKKGVXWBAA6PQM8DNHRY68,30.8835,3025962,2025-03-22 02:40:16 UTC,,,
0FV5AKRDBC5GPV2ZE2HSF063P4,30.8835,3025962,2025-03-22 02:40:32 UTC,,,
0FV5AKX9AFTAZZJ4A2F2BYRQ1A,30.8835,3025962,2025-03-22 02:40:48 UTC,,,
0FV5AM26B74QP52YXW43NT374K,30.4154,3025962,2025-03-22 02:41:04 UTC,,,
0FV5AM728TR6QM6Y5VARVB107F,30.4154,3025962,2025-03-22 02:41:20 UTC,,,
0FV5AMBY5MSB01D56D8TRJ41ZG,30.8835,3025962,2025-03-22 02:41:36 UTC,,,
